Модель,PartNumber/Артикул Производителя,Ситилинк - Полное Наименование,Бренд,Группа товаров,Ссылка на сайт поставщика/вендора,Код Товара
CC715-91P-X7V8,NX.C5FER.001,"Ноутбук игровой Acer ConceptD 7 Ezel CC715-91P-X7V8 NX.C5FER.001, 15.6"", IPS, Intel Xeon W-10885M 2.4ГГц, 8-ядерный, 32ГБ DDR4, 1ТБ +  1ТБ SSD,  NVIDIA Quadro  RTX 5000 - 16 ГБ, Windows 10 Professiona",ACER,Ноутбуки,https://www.acer.com/ac/ru/RU/content/conceptd-model/NX.C5FER.001,1383001
14 C405,ES4048EW,"Ноутбук Digma EVE 14 C405 ES4048EW, 14"", Intel Celeron N3350 1.1ГГц, 2-ядерный, 4ГБ 64ГБ Flash,  Intel HD Graphics  500, Windows 10 Home, серебристый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/3313,1397498
11 C409,ES2056EW,"Ноутбук Digma EVE 11 C409 ES2056EW, 11.6"", Intel Celeron N3350 1.1ГГц, 2-ядерный, 4ГБ 64ГБ SSD,  Intel HD Graphics  500, Windows 10 Home, черный",DIGMA,Ноутбуки,https://digma.ru/catalog/item/3344,1442103
15 P418,ES5064EW,"Ноутбук Digma EVE 15 P418 ES5064EW, 15.6"", Intel Pentium J3710 1.6ГГц, 4-ядерный, 4ГБ 128ГБ SSD,  Intel HD Graphics  405, Windows 10 Home, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/19307,1476714
11 C422,ES1068EW,"Ноутбук Digma EVE 11 C422 ES1068EW, 11.6"", IPS, Intel Celeron J4005 2ГГц, 2-ядерный, 4ГБ 64ГБ SSD,  Intel UHD Graphics  600, Windows 10 Home, черный",DIGMA,Ноутбуки,https://digma.ru/catalog/item/19634,1497616
11 C421Y,ES1067EW,"Ноутбук Digma EVE 11 C421Y ES1067EW, 11.6"", IPS, Intel Celeron N4020 1.1ГГц, 2-ядерный, 4ГБ 64ГБ SSD,  Intel UHD Graphics  600, Windows 10 Home, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/19633,1497619
14 C420,ET4066EW,"Ноутбук Digma EVE 14 C420 ET4066EW, 13.9"", TN, Intel Celeron N4020 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel UHD Graphics  600, Windows 10 Home, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/19635,1497632
15 C419,ES5065EW,"Ноутбук Digma EVE 15 C419 ES5065EW, 15.6"", Intel Celeron N4020 1.1ГГц, 2-ядерный, 4ГБ 128ГБ SSD,  Intel UHD Graphics  600, Windows 10 Home, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/19397,1497691
15 G3 ACL,21A4003SRU,"Ноутбук Lenovo Thinkbook 15 G3 ACL 21A4003SRU, 15.6"", IPS, AMD Ryzen 3 5300U 2.6ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon, Windows 10 Professional, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/ThinkBook/ThinkBook_15_G3_ACL?M=21A4003SRU,1788723
13s G2 ITL,20V900AARU,"Ноутбук Lenovo Thinkbook 13s G2 ITL 20V900AARU, 13.3"", IPS, Intel Core i7 1165G7 2.8ГГц, 4-ядерный, 16ГБ LPDDR4x, 512ГБ SSD,  Intel Iris Xe graphics, Windows 11 Professional, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/ThinkBook/ThinkBook_13s_G2_ITL?M=20V900AARU,1788825
14 C415,NCN144BXW01,"Ноутбук Digma EVE 14 C415 NCN144BXW01, 14"", IPS, Intel Celeron N3350 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel HD Graphics  500, Windows 10 Home, серый космос",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21892?item=1795582,1795582
15 P418,NCN154BXW01,"Ноутбук Digma EVE 15 P418 NCN154BXW01, 15.6"", IPS, Intel Celeron N4020C 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel UHD Graphics  600, Windows 11 Home, серый космос",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21891?item=1795656,1795656
14 C414,NA9144BXW01,"Ноутбук Digma EVE 14 C414 NA9144BXW01, 14"", IPS, AMD A9 9400 2.4ГГц, 2-ядерный, 4ГБ 128ГБ SSD,  AMD Radeon  R5, Windows 10 Home, черный",DIGMA,Ноутбуки,https://static.digma.ru/data/download/manuals/EVE-14-C414-ID-1795672_manual_2022-08-03.pdf,1795672
11 C421Y,NCN114BXW01,"Ноутбук Digma EVE 11 C421Y NCN114BXW01, 11.6"", трансформер,  TN, Intel Celeron N4020C 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel UHD Graphics  600, Windows 11 Home, черный",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21896?item=1795678,1795678
15 P417,DN15P3-8CXW01,"Ноутбук Digma EVE 15 P417 DN15P3-8CXW01, 15.6"", IPS, Intel Core i3 10110U 2.1ГГц, 2-ядерный, 8ГБ 256ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21888,1795694
15ADA05,81W101CLRE,"Ноутбук Lenovo IdeaPad 3 15ADA05 81W101CLRE, 15.6"", IPS, AMD 3020e 1.2ГГц, 2-ядерный, 4ГБ DDR4, 256ГБ SSD,  AMD Radeon, Free DOS, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ADA05?M=81W101CLRE,1811971
15ADA05,81W101CMRE,"Ноутбук Lenovo IdeaPad 3 15ADA05 81W101CMRE, 15.6"", IPS, AMD Athlon Silver 3050U 2.3ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon, Free DOS, черный",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ADA05?M=81W101CMRE,1811991
Fortis M,DN17P3-8CXN01,"Ноутбук Digma Pro Fortis M DN17P3-8CXN01, 17.3"", IPS, Intel Core i3 10110U 2.1ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21943?item=1828629,1828629
Fortis M,DN17P3-ADXW01,"Ноутбук Digma Pro Fortis M DN17P3-ADXW01, 17.3"", IPS, Intel Core i3 10110U 2.1ГГц, 2-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21943?item=1828633,1828633
Sprint M,DN15R5-8CXW02,"Ноутбук Digma Pro Sprint M DN15R5-8CXW02, 15.6"", IPS, AMD Ryzen 5 3500U 2.1ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21988?item=1828656,1828656
Sprint M,DN16R3-8CXW01,"Ноутбук Digma Pro Sprint M DN16R3-8CXW01, 16.1"", IPS, AMD Ryzen 3 3250U 2.6ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 3, Windows 11 Professional, серебристый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21988?item=1828658,1828658
Sprint M,DN16R5-ADXW01,"Ноутбук Digma Pro Sprint M DN16R5-ADXW01, 16.1"", IPS, AMD Ryzen 5 3500U 2.1ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, серебристый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21988?item=1828659,1828659
Magnus M,DN16R5-ADXW02,"Ноутбук Digma Pro Magnus M DN16R5-ADXW02, 16.1"", IPS, AMD Ryzen 5 5600U 2.3ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 7, Windows 11 Professional, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21989?item=1828660,1828660
Magnus M,DN16R7-ADXW01,"Ноутбук Digma Pro Magnus M DN16R7-ADXW01, 16.1"", IPS, AMD Ryzen 7 5800H 3.2ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21989?item=1828663,1828663
Magnus M,DN16R9-ADXW01,"Ноутбук Digma Pro Magnus M DN16R9-ADXW01, 16.1"", IPS, AMD Ryzen 9 5900HX 3.3ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21989?item=1828664,1828664
Sprint M,DN15P3-8CXW02,"Ноутбук Digma Pro Sprint M DN15P3-8CXW02, 15.6"", 2023, IPS, Intel Core i3 1115G4 3.0ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21988?item=1828665,1828665
Sprint M,DN15P5-8DXW02,"Ноутбук Digma Pro Sprint M DN15P5-8DXW02, 15.6"", 2023, IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  Intel Iris Xe graphics, Windows 11 Professional, темно-серый",DIGMA,Ноутбуки,"https://digma.ru/catalog/item/21988?item=1828665_x000D_
",1828666
Sprint M,DN15P5-ADXW02,"Ноутбук Digma Pro Sprint M DN15P5-ADXW02, 15.6"", 2023, IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel Iris Xe graphics, Windows 11 Professional, темно-серый",DIGMA,Ноутбуки,https://digma.ru/catalog/item/21988?item=1828667,1828667
Sprint M,DN15P7-ADXW02,"Ноутбук Digma Pro Sprint M DN15P7-ADXW02, 15.6"", IPS, Intel Core i7 10710U 1.1ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, синий",DIGMA,Ноутбуки,"https://digma.ru/catalog/item/21988?item=1828665_x000D_
",1828668
15 XE5,MO1-M80014-2,"Ноутбук игровой GIGABYTE Aorus 15 XE5 MO1-M80014-2, 15.6"", Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Free DOS, черный",GIGABYTE,Ноутбуки,https://www.gigabyte.com/ru/Laptop/AORUS-15--Intel-12th-Gen/sp#sp,1840687
нет,MO3-M80016-1,"Ноутбук игровой GIGABYTE Aero 5 MO3-M80016-1, 15.6"", Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR4, 1ТБ SSD,  NVIDIA GeForce  RTX 3060 для ноутбуков - 6 ГБ, Windows 11 Home, черный",GIGABYTE,Ноутбуки,https://www.gigabyte.com/ru/Laptop/AERO-5--Intel-12th-Gen/sp#sp,1840689
XE5,XE5-73RU544UH,"Ноутбук игровой GIGABYTE Aorus 15 XE5 XE5-73RU544UH, 15.6"", IPS, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 32ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Home, черный",GIGABYTE,Ноутбуки,https://www.gigabyte.com/Laptop/AORUS-15--Intel-12th-Gen/sp#sp,1860014
15ADA05,81W1017RRE,"Ноутбук Lenovo IdeaPad 3 15ADA05 81W1017RRE, 15.6"", IPS, AMD Ryzen 3 3250U 2.6ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon, Free DOS, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ADA05?M=81W1017RRE,1861256
L3 15ITL6,82HL0081RE,"Ноутбук Lenovo IdeaPad L3 15ITL6 82HL0081RE, 15.6"", IPS, Intel Core i3 1115G4 3ГГц, 2-ядерный, 4ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_L3_15ITL6?M=82HL0081RE,1861274
15ALC6,82KU00G2RE,"Ноутбук Lenovo IdeaPad 3 15ALC6 82KU00G2RE, 15.6"", IPS, AMD Ryzen 3 5300U 2.6ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  AMD Radeon, без операционной системы, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ALC6?M=82KU00G2RE,1861279
16IAX7,82TD009LRK,"Ноутбук игровой Lenovo Legion 7 16IAX7 82TD009LRK, 16"", IPS, Intel Core i7 12800HX 2ГГц, 16-ядерный, 32ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, без операционной системы, се",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/Legion/Legion_7_16IAX7?M=82TD009LRK,1887080
