Ссылка на сайт поставщика/вендора,Ситилинк - Полное Наименование,PartNumber/Артикул Производителя,Бренд,Группа товаров,Модель,Код Товара
https://www.acer.com/ac/ru/RU/content/conceptd-model/NX.C5FER.001,"Ноутбук игровой Acer ConceptD 7 Ezel CC715-91P-X7V8 NX.C5FER.001, 15.6"", IPS, Intel Xeon W-10885M 2.4ГГц, 8-ядерный, 32ГБ DDR4, 1ТБ +  1ТБ SSD,  NVIDIA Quadro  RTX 5000 - 16 ГБ, Windows 10 Professiona",NX.C5FER.001,ACER,Ноутбуки,CC715-91P-X7V8,1383001
https://digma.ru/catalog/item/3313,"Ноутбук Digma EVE 14 C405 ES4048EW, 14"", Intel Celeron N3350 1.1ГГц, 2-ядерный, 4ГБ 64ГБ Flash,  Intel HD Graphics  500, Windows 10 Home, серебристый",ES4048EW,DIGMA,Ноутбуки,14 C405,1397498
https://digma.ru/catalog/item/3344,"Ноутбук Digma EVE 11 C409 ES2056EW, 11.6"", Intel Celeron N3350 1.1ГГц, 2-ядерный, 4ГБ 64ГБ SSD,  Intel HD Graphics  500, Windows 10 Home, черный",ES2056EW,DIGMA,Ноутбуки,11 C409,1442103
https://digma.ru/catalog/item/19307,"Ноутбук Digma EVE 15 P418 ES5064EW, 15.6"", Intel Pentium J3710 1.6ГГц, 4-ядерный, 4ГБ 128ГБ SSD,  Intel HD Graphics  405, Windows 10 Home, темно-серый",ES5064EW,DIGMA,Ноутбуки,15 P418,1476714
https://digma.ru/catalog/item/19634,"Ноутбук Digma EVE 11 C422 ES1068EW, 11.6"", IPS, Intel Celeron J4005 2ГГц, 2-ядерный, 4ГБ 64ГБ SSD,  Intel UHD Graphics  600, Windows 10 Home, черный",ES1068EW,DIGMA,Ноутбуки,11 C422,1497616
https://digma.ru/catalog/item/19633,"Ноутбук Digma EVE 11 C421Y ES1067EW, 11.6"", IPS, Intel Celeron N4020 1.1ГГц, 2-ядерный, 4ГБ 64ГБ SSD,  Intel UHD Graphics  600, Windows 10 Home, темно-серый",ES1067EW,DIGMA,Ноутбуки,11 C421Y,1497619
https://digma.ru/catalog/item/19635,"Ноутбук Digma EVE 14 C420 ET4066EW, 13.9"", TN, Intel Celeron N4020 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel UHD Graphics  600, Windows 10 Home, темно-серый",ET4066EW,DIGMA,Ноутбуки,14 C420,1497632
https://digma.ru/catalog/item/19397,"Ноутбук Digma EVE 15 C419 ES5065EW, 15.6"", Intel Celeron N4020 1.1ГГц, 2-ядерный, 4ГБ 128ГБ SSD,  Intel UHD Graphics  600, Windows 10 Home, темно-серый",ES5065EW,DIGMA,Ноутбуки,15 C419,1497691
https://psref.lenovo.com/Detail/ThinkBook/ThinkBook_15_G3_ACL?M=21A4003SRU,"Ноутбук Lenovo Thinkbook 15 G3 ACL 21A4003SRU, 15.6"", IPS, AMD Ryzen 3 5300U 2.6ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon, Windows 10 Professional, серый",21A4003SRU,LENOVO,Ноутбуки,15 G3 ACL,1788723
https://psref.lenovo.com/Detail/ThinkBook/ThinkBook_13s_G2_ITL?M=20V900AARU,"Ноутбук Lenovo Thinkbook 13s G2 ITL 20V900AARU, 13.3"", IPS, Intel Core i7 1165G7 2.8ГГц, 4-ядерный, 16ГБ LPDDR4x, 512ГБ SSD,  Intel Iris Xe graphics, Windows 11 Professional, серый",20V900AARU,LENOVO,Ноутбуки,13s G2 ITL,1788825
https://digma.ru/catalog/item/21892?item=1795582,"Ноутбук Digma EVE 14 C415 NCN144BXW01, 14"", IPS, Intel Celeron N3350 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel HD Graphics  500, Windows 10 Home, серый космос",NCN144BXW01,DIGMA,Ноутбуки,14 C415,1795582
https://digma.ru/catalog/item/21891?item=1795656,"Ноутбук Digma EVE 15 P418 NCN154BXW01, 15.6"", IPS, Intel Celeron N4020C 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel UHD Graphics  600, Windows 11 Home, серый космос",NCN154BXW01,DIGMA,Ноутбуки,15 P418,1795656
https://static.digma.ru/data/download/manuals/EVE-14-C414-ID-1795672_manual_2022-08-03.pdf,"Ноутбук Digma EVE 14 C414 NA9144BXW01, 14"", IPS, AMD A9 9400 2.4ГГц, 2-ядерный, 4ГБ 128ГБ SSD,  AMD Radeon  R5, Windows 10 Home, черный",NA9144BXW01,DIGMA,Ноутбуки,14 C414,1795672
https://digma.ru/catalog/item/21896?item=1795678,"Ноутбук Digma EVE 11 C421Y NCN114BXW01, 11.6"", трансформер,  TN, Intel Celeron N4020C 1.1ГГц, 2-ядерный, 4ГБ 128ГБ Flash,  Intel UHD Graphics  600, Windows 11 Home, черный",NCN114BXW01,DIGMA,Ноутбуки,11 C421Y,1795678
https://digma.ru/catalog/item/21888,"Ноутбук Digma EVE 15 P417 DN15P3-8CXW01, 15.6"", IPS, Intel Core i3 10110U 2.1ГГц, 2-ядерный, 8ГБ 256ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, серый",DN15P3-8CXW01,DIGMA,Ноутбуки,15 P417,1795694
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ADA05?M=81W101CLRE,"Ноутбук Lenovo IdeaPad 3 15ADA05 81W101CLRE, 15.6"", IPS, AMD 3020e 1.2ГГц, 2-ядерный, 4ГБ DDR4, 256ГБ SSD,  AMD Radeon, Free DOS, серый",81W101CLRE,LENOVO,Ноутбуки,15ADA05,1811971
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ADA05?M=81W101CMRE,"Ноутбук Lenovo IdeaPad 3 15ADA05 81W101CMRE, 15.6"", IPS, AMD Athlon Silver 3050U 2.3ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon, Free DOS, черный",81W101CMRE,LENOVO,Ноутбуки,15ADA05,1811991
https://digma.ru/catalog/item/21943?item=1828629,"Ноутбук Digma Pro Fortis M DN17P3-8CXN01, 17.3"", IPS, Intel Core i3 10110U 2.1ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, серый",DN17P3-8CXN01,DIGMA,Ноутбуки,Fortis M,1828629
https://digma.ru/catalog/item/21943?item=1828633,"Ноутбук Digma Pro Fortis M DN17P3-ADXW01, 17.3"", IPS, Intel Core i3 10110U 2.1ГГц, 2-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, серый",DN17P3-ADXW01,DIGMA,Ноутбуки,Fortis M,1828633
